"fund","alpha_firsthalf","se_alpha_firsthalf","n_firsthalf","alpha_secondhalf","se_alpha_secondhalf","n_secondhalf"
105,-0.00144859311153469,0.0026533833497842,31,-0.00423159015646468,0.00325944422035732,30
2899,0.00249377668648671,0.00166351500886632,31,-0.00170098867188238,0.00154379965893338,30
2903,-0.00409847262607867,0.00158324878133269,31,-0.00473392450124418,0.0026313496632251,30
2914,0.00287645337179252,0.00166914144987354,31,-0.00122447975006048,0.0015561131482498,30
2917,-0.0043339588918554,0.00159658720788432,31,-0.00493050886641204,0.00261959865546642,30
2918,0.0022629021485912,0.00166436942608648,31,-0.00183515720823172,0.00156148440081872,30
2948,-0.00473760153210387,0.00160183529517144,31,-0.00528610193276967,0.00259610604110832,30
2950,-0.00473860792737368,0.00159107520388003,31,-0.00528856278263978,0.00262634927212689,30
2951,0.001842068248838,0.00168079572391,31,-0.00222272078538526,0.00154290049742574,30
2952,0.0018590427009671,0.00167238711687908,31,-0.00224361297023645,0.00154357628261507,30
2960,-0.000581233389623164,0.0021712450883657,31,-0.00327103595513444,0.0021039828051163,30
2964,-0.00131094748260447,0.000135059448198372,31,-2.73092743198714e-05,1.72936244904329e-05,30
2966,0.000499187409706515,0.00139275976426557,31,0.0050756147009064,0.00238985266081614,30
2970,0.00031515521522671,0.00139610566548314,31,0.00472852553318264,0.00236163265220747,30
3077,0.00216800914306587,0.00252030919530408,31,-0.000722541957932714,0.00187563398087586,30
3083,0.00170467427717451,0.00252201152315386,31,-0.00112620924628785,0.00188011137780862,30
3092,0.00171350214985353,0.00251371747147628,31,-0.00120400062723076,0.00186149315673834,30
3094,0.00236810892654593,0.00251997756786725,31,-0.000598832963264961,0.00187256696149766,30
3095,0.000224357484698661,0.00393124148107184,31,-0.00160780500480185,0.00522455394778328,30
3104,-0.000389572866641723,0.00392520055845522,31,-0.00222376917550217,0.00520963601473072,30
3127,-0.000403100770838652,0.00391806077310286,31,-0.00227212101340938,0.00522890738329119,30
3159,0.00105320270493625,0.000717775908795007,31,0.001724773732062,0.000582378323303478,30
3160,0.000774212515916829,0.000706222197797863,31,0.00150149706945024,0.000545655063515358,30
3188,0.000647989697981256,0.000713910108499803,31,0.00146424377673243,0.000588350354586707,30
3191,0.00110129195968281,0.00120628342260474,31,0.00834205125288206,0.00300825608194365,30
3192,-0.00167942769167998,0.00318818254107123,31,0.00683548034312207,0.00509151710962084,30
3196,-0.000257512353370128,0.00241753461753969,31,0.00358068612969539,0.00275099063276973,30
3197,-0.000281138007051772,0.00244088260527893,31,0.00364278229125313,0.00275403942887502,30
3198,0.000230194342372809,0.00242634193295471,31,0.0043127769756703,0.00274996283249311,30
3201,-0.00213644576795897,0.00296094827090425,31,0.00959703818124475,0.00328787037698447,30
3202,-0.00232633348485168,0.00322535272895945,31,0.00615515481482184,0.00504031917476041,30
3204,0.000747036795248456,0.00119406946629607,31,0.00784364459730484,0.00304461101726236,30
3205,0.00077097203063582,0.00119251912339037,31,0.00792338393475434,0.00303506162826332,30
3206,0.00139723643680684,0.00118656081056375,31,0.00850158664048178,0.00304736479632378,30
3207,-0.00248513590443859,0.00300504041630636,31,0.00923098411596257,0.00333352904337862,30
3208,-0.00261089406918883,0.00298265930316322,31,0.00922923782280145,0.00329461104791825,30
3209,-0.00186511710959272,0.0030012500713336,31,0.00981596975197618,0.0033368849265856,30
3210,-0.00230831908604165,0.00315288847627874,31,0.00615602995177471,0.00503579934725653,30
3211,0.00429910280495928,0.00956942127789204,31,-0.00281673931340299,0.00938154929570888,30
3222,0.00429755694817347,0.00475269034077632,31,0.000577808069217891,0.00534872420678007,30
3228,-0.0116845813954695,0.00406006435406211,31,-0.00454634882230357,0.00556260229749308,30
3233,0.000422156802062234,0.00370492394954137,31,0.000551011423543349,0.00471479186099016,30
3244,0.0010052154256082,0.00348583401670936,31,-0.00104845317728473,0.00418048736103377,30
3254,-0.0015925890388201,0.0165021327126723,31,0.0392936322215712,0.0213481116775177,30
3258,-0.0010328323855009,0.00326126206148828,31,-0.00090912917132657,0.00349655762907816,30
3292,0.000509334585999763,9.49872691740903e-05,31,0.000197579889329836,9.07045678790104e-05,30
3293,-0.000699310309075641,0.0001404192137565,31,0.000149086787278266,4.93013272096053e-05,30
3294,0.000279455483301452,7.78591423119086e-05,31,7.21906856554583e-05,5.73758553491569e-05,30
3526,-0.000978772437566432,0.000123076549145479,31,-3.17742496981526e-05,2.52271323559992e-05,30
3527,-4.23533375165327e-05,8.92069214063872e-05,31,-3.5629410663093e-05,2.31033596629961e-05,30
3528,-0.00213009591063779,0.00157334406527678,31,0.000276785789998564,0.00213610561504044,30
3538,-8.07997149669723e-05,0.003406120519529,31,0.00388923073093596,0.00234010572941857,30
3540,-0.00147935063828643,0.00166102182113721,31,0.00542847598966183,0.00172933651587612,30
3563,0.00321775507429428,0.00217905898920812,31,-0.00455560978484992,0.00213914786360225,30
3564,0.00151663373780418,0.00265773807398017,31,0.000399688224246329,0.00279307038827074,30
3721,-0.00488051328889637,0.0018332747486234,31,-0.00176516188858681,0.00216709356405911,30
3747,-0.00549212118561429,0.00183896358000983,31,-0.00240039414958049,0.00216285565100051,30
3753,-0.00547553950091581,0.00182083933538414,31,-0.00238092599263615,0.00218980751861765,30
3908,6.23176051175294e-05,0.00010411868742944,31,1.7645347341356e-05,5.22971251742395e-05,30
3909,0.000386022347319779,0.000102619209882176,31,0.000101086685186862,6.42762920817371e-05,30
3915,0.000982843067017961,0.00252784047328849,31,0.00071249092379647,0.00329970525841491,30
3920,-4.18387469286091e-05,0.00205470208384416,31,-0.00211296844645898,0.00262492593761351,30
4021,0.00133250500536127,0.00200385465373685,31,0.00417505211791205,0.00293176777061291,30
4025,0.00110501328675723,0.00203815312241711,31,0.00423846034529556,0.0029275441022061,30
4029,0.00149032637069908,0.00208294198403712,31,0.0041261402320911,0.00272030444726857,30
4033,0.00131025815580979,0.00211936538891133,31,0.00390565377319167,0.00270906480586998,30
4041,0.000915141714028504,0.00153031162070017,31,0.00692907963880184,0.0020334078839427,30
4044,0.00112799593974499,0.00152494130675444,31,0.00718596801985238,0.00197187665706233,30
4053,0.000615713189263698,0.00173001309303515,31,0.00803711224935159,0.00244036300333133,30
4068,-0.000422872488798257,0.00171757507171821,31,-0.00457992917940222,0.00213860614880424,30
4072,-0.000640250476977397,0.00170730481938478,31,-0.00479540959681937,0.00215514959475985,30
4080,0.000794947660220261,0.00172777340684486,31,0.00824499497438403,0.00245075964170995,30
4081,0.00028115843929745,9.34235155693846e-05,31,7.38900552292246e-05,5.55080856349447e-05,30
4084,7.44875010328773e-05,9.33746499244198e-05,31,4.56568527635149e-05,4.46894428556055e-05,30
4085,0.000141504323627989,8.32522852747658e-05,31,6.52201406512397e-05,5.98150997581692e-05,30
4086,-6.94404419060216e-05,8.36401149378349e-05,31,3.17439602022098e-05,4.95093011688353e-05,30
4087,-0.000809557323981068,0.000127455595900163,31,4.77781492953058e-05,3.63452756666049e-05,30
4088,-0.00101697318491833,0.000127122118756561,31,1.28583641570376e-05,2.51152148227972e-05,30
4089,-0.00174680005948557,0.00148072290593033,31,0.002379917072787,0.00261727899634763,30
4090,-0.00234258826252343,0.00148520003606661,31,0.00181758957552116,0.0025852312632165,30
4128,-0.00164109666395616,0.0020660461539663,31,-0.00061336720240695,0.00352690455369626,30
4129,-0.00248575496412615,0.00212913754386489,31,-0.000930718446089642,0.00362088081584369,30
4197,-0.000641375296785441,0.00533737583972334,31,0.00402271478241371,0.00414414728243832,30
4198,-0.00123025205549899,0.00528643582542379,31,0.00323795855810294,0.00423153156132575,30
4204,-5.79361787773259e-05,0.00238878253779126,31,0.00471655857007049,0.00339555156078558,30
4205,0.000418801229093623,0.00232567442953136,31,0.0042942439097091,0.00286278206063551,30
4206,0.000180210853477491,0.00268614816277381,31,0.00425249556871206,0.00390607082487386,30
4273,-0.0014300790206219,0.00274295991521981,31,0.00109452253535406,0.00411381499328019,30
4274,-0.00213997006643663,0.00275164249956712,31,0.000358708898446242,0.00413140134752177,30
4281,-0.00368359767474603,0.00291243895828319,31,-0.000603122015778051,0.00210479183617155,30
4291,-0.00433448472798337,0.00291364269637253,31,-0.00129112706589789,0.00210373525925321,30
